the_geom,cartodb_id,continent,n1,n2,n3,region,pleiadeslocationprecision,maxdate,mindate,timeperiodskeys,pleiadestitle,verified,type,notes,g_verified,url
,4212,Italy,Villas near Tivoli,Capito's Villa,,Region IV,,,,,,,,,,
,4336,Africa,Africa Proconsularis,Carthage,House of the Cryptoportico,,,,,,,,,,,
,4337,Africa,Africa Proconsularis,Carthage,House of Dionysos,,,,,,,,,,,
0101000020E6100000C64FE3DEFC222C40D099B4A9BA684440,3049,Italy,Campania,Baiae,,Region I,precise,640,-330,"hellenistic-republican,roman,late-antique",Baiae,verified,,,,
,4503,Europe,Gallia Narbonensis,Caumont-sur-Durance,Villa of St. Symphorien,,,,,,,,,,,
,4509,Europe,Gallia Narbonensis,Cavalaire-sur-Mer,Villa de Pardigon,,,,,,,,,,,
0101000020E6100000E675C4211B802C4027F73B14058B4440,4236,Italy,Campania,Capua,,Region I,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Capua,verified,,,,
0101000020E6100000844BC79C67741A402DEE3F321D2F4240,4900,Africa,Numidia,Cirta,Tomb garden,,precise,640,-330,"hellenistic-republican,roman,late-antique",Cirta,,,,,
0101000020E6100000E4141DC9E5BF2A40C3F5285C8FE24640,6847,Italy,Aquileia,Funerary Grove of C. Chryseros,,Region X,,,,,,locality,,,,
,4982,Africa,Africa Proconsularis,Clupea,Villa with Bust,,,,,,,,,,,
,4983,Africa,Africa Proconsularis,Clupea,House of the Two Hunts,,,,,,,,,,,
,5113,Europe,Gallia Belgica,Colonia Augusta Treverorum,Urban House,,,,,,,,,,,
0101000020E6100000CBE6DCB3CF8F2940A70B0CB416F84440,3928,Italy,Villa Adriana,Building east of Inferi Nymphaeum,,Region IV,,,,,,locality,,,,
,5144,Europe,Germania Inferior,Colonia Ulpia Traiana,"Houses, Insula 27",,,,,,,,,,,
0101000020E6100000C93CF20703FD20C0301812E6AC0C4440,5222,Europe,Lusitania,Conimbriga,House of skeleton,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Conimbriga,,,,,
0101000020E6100000C93CF20703FD20C0301812E6AC0C4440,5223,Europe,Lusitania,Conimbriga,House of the Fountains,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Conimbriga,,,,,
0101000020E6100000C93CF20703FD20C0301812E6AC0C4440,5224,Europe,Lusitania,Conimbriga,House of the Cantabar,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Conimbriga,,,,,
,5290,Europe,Achaia,Corinth,Circus,,,,,,,,,,,
,5307,Europe,Pannonia,Cornuntum,Urban Houses,,,,,,,,,,,
0101000020E6100000711C78B5DC1907C0145E82531F984A40,4768,Europe,Britannia,Chester,Tomb painting?,,"rough
",,,,,,,,,
0101000020E6100000D2AC6C1FF2D61B40D7A546E867784940,5117,Europe,Germania Inferior,Colonia Claudia Ara Agrippinensium,House Gertrudenstrasse,,,,,,,,,,,
